N,EQ,EQUAL50ADD,DSPAMC - DSPNEWETF,       283.70,       285.20,       289.82,       285.20,       288.92,                  2969071.38,10293,99,       299.50,       194.25,NIFTY50 EQUAL WEIGHT INDEX
N,EQ,ESG,MIRAEAMC - MAESGETF,        36.97,        37.02,        37.60,        37.02,        37.37,                   350384.71,9368,140,        37.93,        27.61,NIFTY100 ESG SECTOR LEADERS TRI INDEX
N,EQ,ESILVER,EDELAMC - ESILVER,        75.79,        75.81,        76.19,        75.80,        75.99,                  3694548.45,48617,31,        80.97,        70.71,SILVER
N,EQ,FINIETF,ICICIPRAMC-ICICIFIN,        22.74,        22.76,        23.28,        22.75,        23.08,                  4856906.50,210626,777,        23.50,        15.32,NIFTY FINANCIAL SERVICES EX-BANK INDEX
N,EQ,FMCGIETF,ICICIPRAMC - ICICIFMCG,       556.67,       558.29,       562.99,       555.16,       561.83,                  8446833.53,15100,508,       607.58,       460.16,NIFTY FMCG INDEX
N,EQ,GILT5YBEES,RELCAPAMC - NETFGILT5Y,        55.14,        55.16,        55.35,        55.16,        55.29,                  7481583.01,135384,451,        56.53,        50.10,NIFTY 5 YR BENCHMARK G-SEC INDEX
N,EQ,GOLDBEES,NIP IND ETF GOLD BEES,        56.22,        57.90,        57.90,        56.22,        56.61,                315720754.48,5581816,24090,        57.90,        47.80,GOLD
N,EQ,GOLDCASE,ZERODHAAMC - GOLDCASE,        10.67,        10.90,        10.90,        10.68,        10.74,                  2128528.74,198303,518,        12.19,        10.00,GOLD
N,EQ,GOLDETF,MIRAEAMC - MAGOLDETF,        65.79,        66.47,        67.00,        65.51,        66.24,                  2621360.01,39526,614,        69.80,        47.60,GOLD
N,EQ,GOLDETFADD,DSPAMC - DSPGOLDETF,        65.94,        67.26,        67.26,        66.00,        66.43,                 27945692.26,420619,104,        71.70,        55.00,GOLD
N,EQ,GOLDIETF,ICICI PRUDENTIAL GOLD ETF,        57.81,        57.82,        58.43,        57.82,        58.41,                 72108469.65,1236110,2813,        59.41,        49.21,GOLD
N,EQ,GOLDSHARE,UTI GOLD ETF,        56.50,        56.70,        56.95,        56.50,        56.80,                  5613795.50,98836,465,        57.65,        48.15,GOLD
N,EQ,GSEC10IETF,ICICIPRAMC - ICICI10GS,       227.70,       228.25,       228.35,       228.25,       228.35,                    47496.30,208,4,       232.50,       209.75,NIFTY 10 YR BENCHMARK G-SEC INDEX
N,EQ,GSEC10YEAR,MIRAEAMC - MAGS813ETF,        25.84,        25.84,        26.60,        25.17,        26.51,                   146179.33,5532,51,        29.80,        19.33,NIFTY 8-13 YR G-SEC INDEX
N,EQ,GSEC5IETF,ICICIPRAMC - ICICI5GSEC,        55.11,        55.45,        55.45,        55.00,        55.00,                    87343.50,1585,11,        62.95,        50.90,NIFTY 5 YR BENCHMARK G-SEC INDEX
N,EQ,HDFCBSE500,HDFCAMC - HDFCBSE500,        32.36,        32.77,        32.77,        32.11,        32.41,                   512279.39,15827,261,        34.45,        22.70,S&P BSE 500 INDEX
N,EQ,HDFCGOLD,HDFC GOLD ETF,        58.27,        57.95,        58.43,        57.95,        58.31,                 67989718.13,1166023,1443,        60.00,        49.50,GOLD
N,EQ,HDFCGROWTH,HDFCAMC - HDFCGROWTH,       110.24,       112.38,       113.00,       110.00,       111.50,                   288412.42,2585,90,       120.45,        84.16,NIFTY GROWTH SECTORS 15 INDEX (TRI)
N,EQ,HDFCLIQUID,HDFCAMC - HDFCLIQUID,       999.99,      1000.00,      1000.01,       999.99,      1000.00,                   532001.23,532,6,      1020.00,       980.00,NIFTY 1D RATE INDEX
N,EQ,HDFCLOWVOL,HDFCAMC - HDFCLOWVOL,        18.13,        18.01,        18.40,        17.77,        18.30,                   282796.22,15475,156,       179.47,        13.00,NIFTY100 LOW VOLATILITY 30 INDEX (TRI)
N,EQ,HDFCMID150,HDFCAMC - HDFCMID150,        17.76,        17.76,        18.10,        17.60,        17.77,                  2498174.54,140294,962,       168.00,        14.17,NIFTY MIDCAP 150 INDEX
N,EQ,HDFCMOMENT,HDFCAMC - HDFCMOMENT,        30.58,        30.89,        31.05,        30.30,        30.80,                  2717907.09,88300,572,       255.00,        21.75,NIFTY200 MOMENTUM 30 INDEX (TRI)
N,EQ,HDFCNEXT50,HDFCAMC - HDFCNEXT50,        60.56,        60.56,        61.46,        60.56,        61.08,                   503278.94,8239,144,       522.32,        42.90,NIFTY NEXT 50 INDEX
N,EQ,HDFCNIF100,HDFCAMC - HDFCNIF100,        22.93,        22.93,        24.80,        22.93,        23.40,                  1716146.69,73394,261,       220.70,        18.91,NIFTY 100 INDEX
N,EQ,HDFCNIFBAN,HDFCAMC - HDFCNIFBAN,        47.43,        47.01,        48.00,        47.01,        47.70,                  2263326.77,47269,123,       555.00,        45.20,NIFTY BANK INDEX
N,EQ,HDFCNIFIT,HDFCAMC - HDFCNIFIT,        35.41,        35.51,        38.00,        35.49,        35.66,                  2534568.66,71012,321,       387.70,        35.35,HDFC NIFTY IT ETF - GROWTH OPTION
N,EQ,HDFCNIFTY,HDFCAMC - HDFCNIFTY,       243.00,       243.99,       246.59,       242.62,       244.43,                 48913395.28,200018,453,       252.10,       183.00,NIFTY
N,EQ,HDFCPSUBK,HDFCAMC HDFCPSUBK,        68.33,        68.13,        70.50,        68.13,        69.99,                   821495.05,11740,101,        79.65,        65.40,NIFTY PSU BANK INDEX
N,EQ,HDFCPVTBAN,HDFCAMC - HDFCPVTBAN,        23.61,        23.74,        25.10,        23.62,        23.91,                  3126739.16,130843,143,       278.00,        22.59,NIFTY PRIVATE BANK INDEX
N,EQ,HDFCQUAL,HDFCAMC - HDFCQUAL,        51.21,        51.78,        52.53,        51.20,        52.52,                   184255.97,3581,51,        53.22,        37.28,NIFTY100 QUALITY 30 INDEX
N,EQ,HDFCSENSEX,HDFCAMC - HDFCSENSEX,        80.36,        82.75,        82.75,        80.39,        80.96,                  1456300.88,17935,303,       818.25,        77.80,SENSEX
